PoolSize,Run,Tree,Insert_ns,Lookup_ns,Erase_ns
10000,1,RB Tree,118,87,52
10000,1,WAVL Tree,122,79,60
10000,2,RB Tree,109,81,47
10000,2,WAVL Tree,121,79,61
10000,3,RB Tree,106,79,47
10000,3,WAVL Tree,122,80,61
10000,4,RB Tree,108,80,47
10000,4,WAVL Tree,122,80,60
10000,5,RB Tree,109,79,47
10000,5,WAVL Tree,123,80,61
10000,6,RB Tree,107,80,47
10000,6,WAVL Tree,124,80,61
10000,7,RB Tree,109,80,48
10000,7,WAVL Tree,123,80,61
10000,8,RB Tree,108,80,48
10000,8,WAVL Tree,121,79,60
10000,9,RB Tree,110,80,48
10000,9,WAVL Tree,124,80,60
10000,10,RB Tree,108,80,47
10000,10,WAVL Tree,125,80,61
10000,11,RB Tree,109,80,47
10000,11,WAVL Tree,123,80,60
10000,12,RB Tree,109,80,47
10000,12,WAVL Tree,124,80,61
10000,13,RB Tree,108,80,47
10000,13,WAVL Tree,123,80,61
10000,14,RB Tree,109,80,48
10000,14,WAVL Tree,123,81,60
10000,15,RB Tree,109,81,48
10000,15,WAVL Tree,123,82,61
10000,16,RB Tree,108,80,48
10000,16,WAVL Tree,124,81,60
10000,17,RB Tree,109,81,47
10000,17,WAVL Tree,126,81,60
10000,18,RB Tree,109,80,48
10000,18,WAVL Tree,123,81,61
10000,19,RB Tree,108,80,47
10000,19,WAVL Tree,123,81,61
10000,20,RB Tree,111,82,48
10000,20,WAVL Tree,123,80,61
50000,1,RB Tree,164,118,52
50000,1,WAVL Tree,176,117,65
50000,2,RB Tree,160,116,52
50000,2,WAVL Tree,175,117,65
50000,3,RB Tree,160,117,51
50000,3,WAVL Tree,176,117,64
50000,4,RB Tree,160,116,53
50000,4,WAVL Tree,175,117,65
50000,5,RB Tree,160,116,52
50000,5,WAVL Tree,176,117,64
50000,6,RB Tree,160,116,52
50000,6,WAVL Tree,176,117,65
50000,7,RB Tree,160,116,52
50000,7,WAVL Tree,178,117,66
50000,8,RB Tree,161,118,52
50000,8,WAVL Tree,175,116,65
50000,9,RB Tree,160,116,52
50000,9,WAVL Tree,176,117,65
50000,10,RB Tree,159,116,53
50000,10,WAVL Tree,176,117,65
50000,11,RB Tree,161,116,52
50000,11,WAVL Tree,176,118,65
50000,12,RB Tree,159,117,52
50000,12,WAVL Tree,175,117,64
50000,13,RB Tree,160,116,51
50000,13,WAVL Tree,176,116,65
50000,14,RB Tree,159,116,52
50000,14,WAVL Tree,175,116,64
50000,15,RB Tree,160,116,51
50000,15,WAVL Tree,176,117,64
50000,16,RB Tree,159,115,51
50000,16,WAVL Tree,175,116,65
50000,17,RB Tree,160,117,52
50000,17,WAVL Tree,176,117,65
50000,18,RB Tree,159,116,53
50000,18,WAVL Tree,176,116,64
50000,19,RB Tree,160,116,51
50000,19,WAVL Tree,175,117,65
50000,20,RB Tree,160,117,52
50000,20,WAVL Tree,175,116,65
100000,1,RB Tree,187,136,53
100000,1,WAVL Tree,201,138,65
100000,2,RB Tree,184,136,53
100000,2,WAVL Tree,199,135,65
100000,3,RB Tree,183,136,53
100000,3,WAVL Tree,198,136,65
100000,4,RB Tree,182,135,53
100000,4,WAVL Tree,197,136,66
100000,5,RB Tree,185,136,53
100000,5,WAVL Tree,198,135,65
100000,6,RB Tree,184,136,52
100000,6,WAVL Tree,198,137,65
100000,7,RB Tree,182,135,52
100000,7,WAVL Tree,198,135,66
100000,8,RB Tree,186,136,53
100000,8,WAVL Tree,199,136,65
100000,9,RB Tree,183,136,52
100000,9,WAVL Tree,198,136,65
100000,10,RB Tree,184,135,52
100000,10,WAVL Tree,200,137,65
100000,11,RB Tree,183,135,53
100000,11,WAVL Tree,199,135,65
100000,12,RB Tree,182,136,52
100000,12,WAVL Tree,198,135,65
100000,13,RB Tree,185,135,52
100000,13,WAVL Tree,198,136,65
100000,14,RB Tree,183,135,52
100000,14,WAVL Tree,201,135,65
100000,15,RB Tree,183,135,52
100000,15,WAVL Tree,198,136,65
100000,16,RB Tree,182,135,53
100000,16,WAVL Tree,199,135,65
100000,17,RB Tree,188,140,57
100000,17,WAVL Tree,203,142,70
100000,18,RB Tree,183,135,52
100000,18,WAVL Tree,198,136,65
100000,19,RB Tree,185,137,53
100000,19,WAVL Tree,200,137,65
100000,20,RB Tree,183,136,52
100000,20,WAVL Tree,198,136,65
250000,1,RB Tree,232,169,53
250000,1,WAVL Tree,244,168,66
250000,2,RB Tree,252,174,55
250000,2,WAVL Tree,243,168,65
250000,3,RB Tree,252,178,57
250000,3,WAVL Tree,247,169,65
250000,4,RB Tree,238,173,55
250000,4,WAVL Tree,244,168,66
250000,5,RB Tree,233,173,54
250000,5,WAVL Tree,245,169,66
250000,6,RB Tree,227,168,53
250000,6,WAVL Tree,252,169,66
250000,7,RB Tree,229,168,53
250000,7,WAVL Tree,260,173,68
250000,8,RB Tree,231,168,53
250000,8,WAVL Tree,249,168,66
250000,9,RB Tree,229,169,54
250000,9,WAVL Tree,247,169,66
250000,10,RB Tree,228,169,53
250000,10,WAVL Tree,245,169,66
250000,11,RB Tree,228,169,53
250000,11,WAVL Tree,243,168,65
250000,12,RB Tree,229,170,53
250000,12,WAVL Tree,242,167,65
250000,13,RB Tree,229,168,54
250000,13,WAVL Tree,240,167,65
250000,14,RB Tree,229,169,53
250000,14,WAVL Tree,246,168,65
250000,15,RB Tree,228,169,53
250000,15,WAVL Tree,242,167,65
250000,16,RB Tree,229,168,53
250000,16,WAVL Tree,252,169,65
250000,17,RB Tree,230,168,53
250000,17,WAVL Tree,250,169,68
250000,18,RB Tree,227,168,53
250000,18,WAVL Tree,246,170,66
250000,19,RB Tree,235,170,53
250000,19,WAVL Tree,247,168,65
250000,20,RB Tree,227,168,53
250000,20,WAVL Tree,242,168,64
500000,1,RB Tree,345,217,67
500000,1,WAVL Tree,345,205,80
500000,2,RB Tree,332,208,65
500000,2,WAVL Tree,352,214,78
500000,3,RB Tree,344,216,66
500000,3,WAVL Tree,355,209,79
500000,4,RB Tree,340,210,65
500000,4,WAVL Tree,377,220,83
500000,5,RB Tree,338,214,65
500000,5,WAVL Tree,350,207,78
500000,6,RB Tree,333,209,65
500000,6,WAVL Tree,393,225,87
500000,7,RB Tree,347,216,66
500000,7,WAVL Tree,358,214,83
500000,8,RB Tree,331,207,64
500000,8,WAVL Tree,351,212,75
500000,9,RB Tree,338,214,65
500000,9,WAVL Tree,355,212,83
500000,10,RB Tree,330,205,62
500000,10,WAVL Tree,353,212,75
500000,11,RB Tree,343,217,67
500000,11,WAVL Tree,349,207,77
500000,12,RB Tree,338,211,67
500000,12,WAVL Tree,355,215,79
500000,13,RB Tree,339,215,65
500000,13,WAVL Tree,352,210,80
500000,14,RB Tree,356,217,69
500000,14,WAVL Tree,360,216,79
500000,15,RB Tree,337,213,65
500000,15,WAVL Tree,347,209,79
500000,16,RB Tree,341,212,65
500000,16,WAVL Tree,362,215,80
500000,17,RB Tree,337,211,63
500000,17,WAVL Tree,350,207,76
500000,18,RB Tree,346,213,67
500000,18,WAVL Tree,354,214,79
500000,19,RB Tree,366,225,71
500000,19,WAVL Tree,351,209,79
500000,20,RB Tree,339,211,66
500000,20,WAVL Tree,362,216,80
1000000,1,RB Tree,548,314,102
1000000,1,WAVL Tree,549,288,119
1000000,2,RB Tree,522,285,99
1000000,2,WAVL Tree,549,295,113
1000000,3,RB Tree,566,319,105
1000000,3,WAVL Tree,543,292,118
1000000,4,RB Tree,515,282,101
1000000,4,WAVL Tree,572,311,119
1000000,5,RB Tree,552,318,102
1000000,5,WAVL Tree,527,276,112
1000000,6,RB Tree,560,319,111
1000000,6,WAVL Tree,572,317,119
1000000,7,RB Tree,548,315,102
1000000,7,WAVL Tree,526,276,112
1000000,8,RB Tree,530,298,102
1000000,8,WAVL Tree,552,299,113
1000000,9,RB Tree,549,314,104
1000000,9,WAVL Tree,548,294,119
1000000,10,RB Tree,532,302,106
1000000,10,WAVL Tree,579,323,124
1000000,11,RB Tree,550,315,103
1000000,11,WAVL Tree,543,285,116
1000000,12,RB Tree,532,298,102
1000000,12,WAVL Tree,552,298,114
1000000,13,RB Tree,550,314,103
1000000,13,WAVL Tree,558,304,124
1000000,14,RB Tree,528,295,102
1000000,14,WAVL Tree,565,312,118
1000000,15,RB Tree,545,311,102
1000000,15,WAVL Tree,542,285,116
1000000,16,RB Tree,531,295,101
1000000,16,WAVL Tree,572,317,120
1000000,17,RB Tree,601,352,115
1000000,17,WAVL Tree,536,283,114
1000000,18,RB Tree,519,287,101
1000000,18,WAVL Tree,594,331,127
1000000,19,RB Tree,549,316,102
1000000,19,WAVL Tree,535,283,115
1000000,20,RB Tree,577,331,115
1000000,20,WAVL Tree,581,321,123
