PoolSize,Run,Tree,Metric,Value
10000,1,RB Tree,L1 Misses,976351
10000,1,RB Tree,Branch Misses,1519116
10000,1,WAVL Tree,L1 Misses,1012947
10000,1,WAVL Tree,Branch Misses,1715025
10000,2,RB Tree,L1 Misses,979976
10000,2,RB Tree,Branch Misses,1530032
10000,2,WAVL Tree,L1 Misses,1011048
10000,2,WAVL Tree,Branch Misses,1714143
10000,3,RB Tree,L1 Misses,973699
10000,3,RB Tree,Branch Misses,1528127
10000,3,WAVL Tree,L1 Misses,1006432
10000,3,WAVL Tree,Branch Misses,1708398
10000,4,RB Tree,L1 Misses,987352
10000,4,RB Tree,Branch Misses,1525420
10000,4,WAVL Tree,L1 Misses,1018651
10000,4,WAVL Tree,Branch Misses,1713945
10000,5,RB Tree,L1 Misses,980036
10000,5,RB Tree,Branch Misses,1532979
10000,5,WAVL Tree,L1 Misses,1026831
10000,5,WAVL Tree,Branch Misses,1712669
10000,6,RB Tree,L1 Misses,981888
10000,6,RB Tree,Branch Misses,1527574
10000,6,WAVL Tree,L1 Misses,1021173
10000,6,WAVL Tree,Branch Misses,1713627
10000,7,RB Tree,L1 Misses,969464
10000,7,RB Tree,Branch Misses,1523652
10000,7,WAVL Tree,L1 Misses,1003876
10000,7,WAVL Tree,Branch Misses,1715435
10000,8,RB Tree,L1 Misses,980312
10000,8,RB Tree,Branch Misses,1522192
10000,8,WAVL Tree,L1 Misses,1006059
10000,8,WAVL Tree,Branch Misses,1712783
10000,9,RB Tree,L1 Misses,981910
10000,9,RB Tree,Branch Misses,1533123
10000,9,WAVL Tree,L1 Misses,1018283
10000,9,WAVL Tree,Branch Misses,1714614
10000,10,RB Tree,L1 Misses,986110
10000,10,RB Tree,Branch Misses,1532853
10000,10,WAVL Tree,L1 Misses,1006483
10000,10,WAVL Tree,Branch Misses,1707312
10000,11,RB Tree,L1 Misses,980085
10000,11,RB Tree,Branch Misses,1526583
10000,11,WAVL Tree,L1 Misses,1007844
10000,11,WAVL Tree,Branch Misses,1712271
10000,12,RB Tree,L1 Misses,1001294
10000,12,RB Tree,Branch Misses,1521832
10000,12,WAVL Tree,L1 Misses,1001072
10000,12,WAVL Tree,Branch Misses,1712952
10000,13,RB Tree,L1 Misses,980873
10000,13,RB Tree,Branch Misses,1522727
10000,13,WAVL Tree,L1 Misses,1011138
10000,13,WAVL Tree,Branch Misses,1712160
10000,14,RB Tree,L1 Misses,995450
10000,14,RB Tree,Branch Misses,1525822
10000,14,WAVL Tree,L1 Misses,1008506
10000,14,WAVL Tree,Branch Misses,1704697
10000,15,RB Tree,L1 Misses,975804
10000,15,RB Tree,Branch Misses,1520422
10000,15,WAVL Tree,L1 Misses,1003946
10000,15,WAVL Tree,Branch Misses,1710225
10000,16,RB Tree,L1 Misses,984754
10000,16,RB Tree,Branch Misses,1528957
10000,16,WAVL Tree,L1 Misses,1013813
10000,16,WAVL Tree,Branch Misses,1704675
10000,17,RB Tree,L1 Misses,971636
10000,17,RB Tree,Branch Misses,1527851
10000,17,WAVL Tree,L1 Misses,1000780
10000,17,WAVL Tree,Branch Misses,1712642
10000,18,RB Tree,L1 Misses,975727
10000,18,RB Tree,Branch Misses,1530459
10000,18,WAVL Tree,L1 Misses,1015605
10000,18,WAVL Tree,Branch Misses,1712609
10000,19,RB Tree,L1 Misses,975558
10000,19,RB Tree,Branch Misses,1528852
10000,19,WAVL Tree,L1 Misses,1008827
10000,19,WAVL Tree,Branch Misses,1714893
10000,20,RB Tree,L1 Misses,1030154
10000,20,RB Tree,Branch Misses,1529370
10000,20,WAVL Tree,L1 Misses,1009204
10000,20,WAVL Tree,Branch Misses,1708516
50000,1,RB Tree,L1 Misses,1606287
50000,1,RB Tree,Branch Misses,2068025
50000,1,WAVL Tree,L1 Misses,1656989
50000,1,WAVL Tree,Branch Misses,2299743
50000,2,RB Tree,L1 Misses,1625317
50000,2,RB Tree,Branch Misses,2072103
50000,2,WAVL Tree,L1 Misses,1649466
50000,2,WAVL Tree,Branch Misses,2309271
50000,3,RB Tree,L1 Misses,1603509
50000,3,RB Tree,Branch Misses,2076996
50000,3,WAVL Tree,L1 Misses,1634234
50000,3,WAVL Tree,Branch Misses,2304964
50000,4,RB Tree,L1 Misses,1601670
50000,4,RB Tree,Branch Misses,2073975
50000,4,WAVL Tree,L1 Misses,1648432
50000,4,WAVL Tree,Branch Misses,2302040
50000,5,RB Tree,L1 Misses,1605431
50000,5,RB Tree,Branch Misses,2076408
50000,5,WAVL Tree,L1 Misses,1652784
50000,5,WAVL Tree,Branch Misses,2300307
50000,6,RB Tree,L1 Misses,1611212
50000,6,RB Tree,Branch Misses,2073879
50000,6,WAVL Tree,L1 Misses,1619934
50000,6,WAVL Tree,Branch Misses,2301666
50000,7,RB Tree,L1 Misses,1613907
50000,7,RB Tree,Branch Misses,2074303
50000,7,WAVL Tree,L1 Misses,1644610
50000,7,WAVL Tree,Branch Misses,2303250
50000,8,RB Tree,L1 Misses,1591965
50000,8,RB Tree,Branch Misses,2072316
50000,8,WAVL Tree,L1 Misses,1634602
50000,8,WAVL Tree,Branch Misses,2301279
50000,9,RB Tree,L1 Misses,1605178
50000,9,RB Tree,Branch Misses,2068334
50000,9,WAVL Tree,L1 Misses,1625599
50000,9,WAVL Tree,Branch Misses,2301857
50000,10,RB Tree,L1 Misses,1601928
50000,10,RB Tree,Branch Misses,2074690
50000,10,WAVL Tree,L1 Misses,1638257
50000,10,WAVL Tree,Branch Misses,2303787
50000,11,RB Tree,L1 Misses,1593872
50000,11,RB Tree,Branch Misses,2071200
50000,11,WAVL Tree,L1 Misses,1649714
50000,11,WAVL Tree,Branch Misses,2299333
50000,12,RB Tree,L1 Misses,1590064
50000,12,RB Tree,Branch Misses,2074645
50000,12,WAVL Tree,L1 Misses,1656555
50000,12,WAVL Tree,Branch Misses,2303076
50000,13,RB Tree,L1 Misses,1583957
50000,13,RB Tree,Branch Misses,2075182
50000,13,WAVL Tree,L1 Misses,1652626
50000,13,WAVL Tree,Branch Misses,2302762
50000,14,RB Tree,L1 Misses,1602486
50000,14,RB Tree,Branch Misses,2076358
50000,14,WAVL Tree,L1 Misses,1647132
50000,14,WAVL Tree,Branch Misses,2303857
50000,15,RB Tree,L1 Misses,1611790
50000,15,RB Tree,Branch Misses,2073968
50000,15,WAVL Tree,L1 Misses,1652943
50000,15,WAVL Tree,Branch Misses,2303278
50000,16,RB Tree,L1 Misses,1603502
50000,16,RB Tree,Branch Misses,2070275
50000,16,WAVL Tree,L1 Misses,1650710
50000,16,WAVL Tree,Branch Misses,2302667
50000,17,RB Tree,L1 Misses,1606765
50000,17,RB Tree,Branch Misses,2075119
50000,17,WAVL Tree,L1 Misses,1648774
50000,17,WAVL Tree,Branch Misses,2303380
50000,18,RB Tree,L1 Misses,1611003
50000,18,RB Tree,Branch Misses,2077927
50000,18,WAVL Tree,L1 Misses,1661545
50000,18,WAVL Tree,Branch Misses,2303896
50000,19,RB Tree,L1 Misses,1594726
50000,19,RB Tree,Branch Misses,2076700
50000,19,WAVL Tree,L1 Misses,1655815
50000,19,WAVL Tree,Branch Misses,2304099
50000,20,RB Tree,L1 Misses,1587941
50000,20,RB Tree,Branch Misses,2072941
50000,20,WAVL Tree,L1 Misses,1649037
50000,20,WAVL Tree,Branch Misses,2301372
100000,1,RB Tree,L1 Misses,2078944
100000,1,RB Tree,Branch Misses,2550050
100000,1,WAVL Tree,L1 Misses,2108029
100000,1,WAVL Tree,Branch Misses,2823086
100000,2,RB Tree,L1 Misses,2049658
100000,2,RB Tree,Branch Misses,2551342
100000,2,WAVL Tree,L1 Misses,2140862
100000,2,WAVL Tree,Branch Misses,2823802
100000,3,RB Tree,L1 Misses,2055943
100000,3,RB Tree,Branch Misses,2550458
100000,3,WAVL Tree,L1 Misses,2123261
100000,3,WAVL Tree,Branch Misses,2821596
100000,4,RB Tree,L1 Misses,2053870
100000,4,RB Tree,Branch Misses,2550011
100000,4,WAVL Tree,L1 Misses,2093348
100000,4,WAVL Tree,Branch Misses,2822030
100000,5,RB Tree,L1 Misses,2082243
100000,5,RB Tree,Branch Misses,2547119
100000,5,WAVL Tree,L1 Misses,2103009
100000,5,WAVL Tree,Branch Misses,2822573
100000,6,RB Tree,L1 Misses,2073050
100000,6,RB Tree,Branch Misses,2550648
100000,6,WAVL Tree,L1 Misses,2113851
100000,6,WAVL Tree,Branch Misses,2821927
100000,7,RB Tree,L1 Misses,2074887
100000,7,RB Tree,Branch Misses,2547342
100000,7,WAVL Tree,L1 Misses,2107989
100000,7,WAVL Tree,Branch Misses,2827156
100000,8,RB Tree,L1 Misses,2058593
100000,8,RB Tree,Branch Misses,2548171
100000,8,WAVL Tree,L1 Misses,2099090
100000,8,WAVL Tree,Branch Misses,2818273
100000,9,RB Tree,L1 Misses,2072028
100000,9,RB Tree,Branch Misses,2553099
100000,9,WAVL Tree,L1 Misses,2104396
100000,9,WAVL Tree,Branch Misses,2821396
100000,10,RB Tree,L1 Misses,2077949
100000,10,RB Tree,Branch Misses,2554181
100000,10,WAVL Tree,L1 Misses,2119511
100000,10,WAVL Tree,Branch Misses,2822030
100000,11,RB Tree,L1 Misses,2066310
100000,11,RB Tree,Branch Misses,2550041
100000,11,WAVL Tree,L1 Misses,2117680
100000,11,WAVL Tree,Branch Misses,2822422
100000,12,RB Tree,L1 Misses,2058352
100000,12,RB Tree,Branch Misses,2551652
100000,12,WAVL Tree,L1 Misses,2120646
100000,12,WAVL Tree,Branch Misses,2823291
100000,13,RB Tree,L1 Misses,2070112
100000,13,RB Tree,Branch Misses,2549455
100000,13,WAVL Tree,L1 Misses,2109317
100000,13,WAVL Tree,Branch Misses,2822747
100000,14,RB Tree,L1 Misses,2057060
100000,14,RB Tree,Branch Misses,2548291
100000,14,WAVL Tree,L1 Misses,2113823
100000,14,WAVL Tree,Branch Misses,2824221
100000,15,RB Tree,L1 Misses,2065834
100000,15,RB Tree,Branch Misses,2547332
100000,15,WAVL Tree,L1 Misses,2119519
100000,15,WAVL Tree,Branch Misses,2826689
100000,16,RB Tree,L1 Misses,2085208
100000,16,RB Tree,Branch Misses,2550927
100000,16,WAVL Tree,L1 Misses,2115609
100000,16,WAVL Tree,Branch Misses,2820863
100000,17,RB Tree,L1 Misses,2086058
100000,17,RB Tree,Branch Misses,2550461
100000,17,WAVL Tree,L1 Misses,2099584
100000,17,WAVL Tree,Branch Misses,2825513
100000,18,RB Tree,L1 Misses,2079260
100000,18,RB Tree,Branch Misses,2554568
100000,18,WAVL Tree,L1 Misses,2102113
100000,18,WAVL Tree,Branch Misses,2824326
100000,19,RB Tree,L1 Misses,2046726
100000,19,RB Tree,Branch Misses,2553340
100000,19,WAVL Tree,L1 Misses,2120010
100000,19,WAVL Tree,Branch Misses,2822685
100000,20,RB Tree,L1 Misses,2074005
100000,20,RB Tree,Branch Misses,2552116
100000,20,WAVL Tree,L1 Misses,2111918
100000,20,WAVL Tree,Branch Misses,2826182
250000,1,RB Tree,L1 Misses,3317351
250000,1,RB Tree,Branch Misses,3856762
250000,1,WAVL Tree,L1 Misses,3406655
250000,1,WAVL Tree,Branch Misses,4250688
250000,2,RB Tree,L1 Misses,3280814
250000,2,RB Tree,Branch Misses,3854349
250000,2,WAVL Tree,L1 Misses,3360398
250000,2,WAVL Tree,Branch Misses,4244442
250000,3,RB Tree,L1 Misses,3286620
250000,3,RB Tree,Branch Misses,3855036
250000,3,WAVL Tree,L1 Misses,3344179
250000,3,WAVL Tree,Branch Misses,4249043
250000,4,RB Tree,L1 Misses,3239175
250000,4,RB Tree,Branch Misses,3858066
250000,4,WAVL Tree,L1 Misses,3365247
250000,4,WAVL Tree,Branch Misses,4254136
250000,5,RB Tree,L1 Misses,3288051
250000,5,RB Tree,Branch Misses,3854162
250000,5,WAVL Tree,L1 Misses,3365329
250000,5,WAVL Tree,Branch Misses,4247427
250000,6,RB Tree,L1 Misses,3518048
250000,6,RB Tree,Branch Misses,3853066
250000,6,WAVL Tree,L1 Misses,3356872
250000,6,WAVL Tree,Branch Misses,4247723
250000,7,RB Tree,L1 Misses,3292641
250000,7,RB Tree,Branch Misses,3856151
250000,7,WAVL Tree,L1 Misses,3344824
250000,7,WAVL Tree,Branch Misses,4253986
250000,8,RB Tree,L1 Misses,3312799
250000,8,RB Tree,Branch Misses,3854455
250000,8,WAVL Tree,L1 Misses,3369481
250000,8,WAVL Tree,Branch Misses,4251088
250000,9,RB Tree,L1 Misses,3294035
250000,9,RB Tree,Branch Misses,3852271
250000,9,WAVL Tree,L1 Misses,3382535
250000,9,WAVL Tree,Branch Misses,4250206
250000,10,RB Tree,L1 Misses,3271873
250000,10,RB Tree,Branch Misses,3852898
250000,10,WAVL Tree,L1 Misses,3387386
250000,10,WAVL Tree,Branch Misses,4250060
250000,11,RB Tree,L1 Misses,3292309
250000,11,RB Tree,Branch Misses,3854623
250000,11,WAVL Tree,L1 Misses,3394426
250000,11,WAVL Tree,Branch Misses,4248986
250000,12,RB Tree,L1 Misses,3285037
250000,12,RB Tree,Branch Misses,3856805
250000,12,WAVL Tree,L1 Misses,3397911
250000,12,WAVL Tree,Branch Misses,4254105
250000,13,RB Tree,L1 Misses,3273977
250000,13,RB Tree,Branch Misses,3854400
250000,13,WAVL Tree,L1 Misses,3365365
250000,13,WAVL Tree,Branch Misses,4250100
250000,14,RB Tree,L1 Misses,3264925
250000,14,RB Tree,Branch Misses,3854261
250000,14,WAVL Tree,L1 Misses,3366535
250000,14,WAVL Tree,Branch Misses,4254451
250000,15,RB Tree,L1 Misses,3294437
250000,15,RB Tree,Branch Misses,3853728
250000,15,WAVL Tree,L1 Misses,3392989
250000,15,WAVL Tree,Branch Misses,4250780
250000,16,RB Tree,L1 Misses,3298032
250000,16,RB Tree,Branch Misses,3851083
250000,16,WAVL Tree,L1 Misses,3365158
250000,16,WAVL Tree,Branch Misses,4246098
250000,17,RB Tree,L1 Misses,3311522
250000,17,RB Tree,Branch Misses,3853310
250000,17,WAVL Tree,L1 Misses,3404541
250000,17,WAVL Tree,Branch Misses,4249426
250000,18,RB Tree,L1 Misses,3281884
250000,18,RB Tree,Branch Misses,3851242
250000,18,WAVL Tree,L1 Misses,3370742
250000,18,WAVL Tree,Branch Misses,4248877
250000,19,RB Tree,L1 Misses,3296332
250000,19,RB Tree,Branch Misses,3852888
250000,19,WAVL Tree,L1 Misses,3390901
250000,19,WAVL Tree,Branch Misses,4246405
250000,20,RB Tree,L1 Misses,3281444
250000,20,RB Tree,Branch Misses,3858448
250000,20,WAVL Tree,L1 Misses,3376645
250000,20,WAVL Tree,Branch Misses,4248778
500000,1,RB Tree,L1 Misses,5352169
500000,1,RB Tree,Branch Misses,5986289
500000,1,WAVL Tree,L1 Misses,5444366
500000,1,WAVL Tree,Branch Misses,6601897
500000,2,RB Tree,L1 Misses,5327095
500000,2,RB Tree,Branch Misses,5986544
500000,2,WAVL Tree,L1 Misses,5514060
500000,2,WAVL Tree,Branch Misses,6600265
500000,3,RB Tree,L1 Misses,5337053
500000,3,RB Tree,Branch Misses,5985968
500000,3,WAVL Tree,L1 Misses,5433855
500000,3,WAVL Tree,Branch Misses,6604931
500000,4,RB Tree,L1 Misses,5359787
500000,4,RB Tree,Branch Misses,5986836
500000,4,WAVL Tree,L1 Misses,5435680
500000,4,WAVL Tree,Branch Misses,6604463
500000,5,RB Tree,L1 Misses,5340434
500000,5,RB Tree,Branch Misses,5984197
500000,5,WAVL Tree,L1 Misses,5504745
500000,5,WAVL Tree,Branch Misses,6609949
500000,6,RB Tree,L1 Misses,5388177
500000,6,RB Tree,Branch Misses,5985708
500000,6,WAVL Tree,L1 Misses,5457144
500000,6,WAVL Tree,Branch Misses,6604185
500000,7,RB Tree,L1 Misses,5377843
500000,7,RB Tree,Branch Misses,5982068
500000,7,WAVL Tree,L1 Misses,5434039
500000,7,WAVL Tree,Branch Misses,6605329
500000,8,RB Tree,L1 Misses,5377440
500000,8,RB Tree,Branch Misses,5985067
500000,8,WAVL Tree,L1 Misses,5464253
500000,8,WAVL Tree,Branch Misses,6602931
500000,9,RB Tree,L1 Misses,5374166
500000,9,RB Tree,Branch Misses,5982374
500000,9,WAVL Tree,L1 Misses,5458497
500000,9,WAVL Tree,Branch Misses,6605485
500000,10,RB Tree,L1 Misses,5323123
500000,10,RB Tree,Branch Misses,5987299
500000,10,WAVL Tree,L1 Misses,5469955
500000,10,WAVL Tree,Branch Misses,6605850
500000,11,RB Tree,L1 Misses,5312114
500000,11,RB Tree,Branch Misses,5983825
500000,11,WAVL Tree,L1 Misses,5409542
500000,11,WAVL Tree,Branch Misses,6601381
500000,12,RB Tree,L1 Misses,5351130
500000,12,RB Tree,Branch Misses,5988123
500000,12,WAVL Tree,L1 Misses,5446673
500000,12,WAVL Tree,Branch Misses,6599470
500000,13,RB Tree,L1 Misses,5323283
500000,13,RB Tree,Branch Misses,5984749
500000,13,WAVL Tree,L1 Misses,5459396
500000,13,WAVL Tree,Branch Misses,6594485
500000,14,RB Tree,L1 Misses,5323110
500000,14,RB Tree,Branch Misses,5983784
500000,14,WAVL Tree,L1 Misses,5357130
500000,14,WAVL Tree,Branch Misses,6603765
500000,15,RB Tree,L1 Misses,5365646
500000,15,RB Tree,Branch Misses,5988510
500000,15,WAVL Tree,L1 Misses,5487676
500000,15,WAVL Tree,Branch Misses,6601228
500000,16,RB Tree,L1 Misses,5318760
500000,16,RB Tree,Branch Misses,5985511
500000,16,WAVL Tree,L1 Misses,5473676
500000,16,WAVL Tree,Branch Misses,6601123
500000,17,RB Tree,L1 Misses,5342192
500000,17,RB Tree,Branch Misses,5985991
500000,17,WAVL Tree,L1 Misses,5476388
500000,17,WAVL Tree,Branch Misses,6605368
500000,18,RB Tree,L1 Misses,5359900
500000,18,RB Tree,Branch Misses,5985751
500000,18,WAVL Tree,L1 Misses,5441475
500000,18,WAVL Tree,Branch Misses,6601206
500000,19,RB Tree,L1 Misses,5321763
500000,19,RB Tree,Branch Misses,5985761
500000,19,WAVL Tree,L1 Misses,5444107
500000,19,WAVL Tree,Branch Misses,6602198
500000,20,RB Tree,L1 Misses,5349605
500000,20,RB Tree,Branch Misses,5985784
500000,20,WAVL Tree,L1 Misses,5444003
500000,20,WAVL Tree,Branch Misses,6600925
1000000,1,RB Tree,L1 Misses,9541979
1000000,1,RB Tree,Branch Misses,10252254
1000000,1,WAVL Tree,L1 Misses,9823904
1000000,1,WAVL Tree,Branch Misses,11252013
1000000,2,RB Tree,L1 Misses,9661365
1000000,2,RB Tree,Branch Misses,10247231
1000000,2,WAVL Tree,L1 Misses,9754065
1000000,2,WAVL Tree,Branch Misses,11249469
1000000,3,RB Tree,L1 Misses,9629675
1000000,3,RB Tree,Branch Misses,10253915
1000000,3,WAVL Tree,L1 Misses,9942495
1000000,3,WAVL Tree,Branch Misses,11266114
1000000,4,RB Tree,L1 Misses,9583913
1000000,4,RB Tree,Branch Misses,10252230
1000000,4,WAVL Tree,L1 Misses,9814277
1000000,4,WAVL Tree,Branch Misses,11263642
1000000,5,RB Tree,L1 Misses,9694310
1000000,5,RB Tree,Branch Misses,10261007
1000000,5,WAVL Tree,L1 Misses,9878483
1000000,5,WAVL Tree,Branch Misses,11254779
1000000,6,RB Tree,L1 Misses,9594808
1000000,6,RB Tree,Branch Misses,10266618
1000000,6,WAVL Tree,L1 Misses,9865770
1000000,6,WAVL Tree,Branch Misses,11263814
1000000,7,RB Tree,L1 Misses,9665052
1000000,7,RB Tree,Branch Misses,10261301
1000000,7,WAVL Tree,L1 Misses,9872047
1000000,7,WAVL Tree,Branch Misses,11259787
1000000,8,RB Tree,L1 Misses,9551808
1000000,8,RB Tree,Branch Misses,10244703
1000000,8,WAVL Tree,L1 Misses,9907252
1000000,8,WAVL Tree,Branch Misses,11247818
1000000,9,RB Tree,L1 Misses,9705466
1000000,9,RB Tree,Branch Misses,10260228
1000000,9,WAVL Tree,L1 Misses,9950140
1000000,9,WAVL Tree,Branch Misses,11264695
1000000,10,RB Tree,L1 Misses,9716888
1000000,10,RB Tree,Branch Misses,10261455
1000000,10,WAVL Tree,L1 Misses,9829908
1000000,10,WAVL Tree,Branch Misses,11263149
1000000,11,RB Tree,L1 Misses,9598672
1000000,11,RB Tree,Branch Misses,10251279
1000000,11,WAVL Tree,L1 Misses,9943841
1000000,11,WAVL Tree,Branch Misses,11260365
1000000,12,RB Tree,L1 Misses,9623489
1000000,12,RB Tree,Branch Misses,10260592
1000000,12,WAVL Tree,L1 Misses,9791861
1000000,12,WAVL Tree,Branch Misses,11259002
1000000,13,RB Tree,L1 Misses,9608812
1000000,13,RB Tree,Branch Misses,10260663
1000000,13,WAVL Tree,L1 Misses,9856260
1000000,13,WAVL Tree,Branch Misses,11269121
1000000,14,RB Tree,L1 Misses,9715790
1000000,14,RB Tree,Branch Misses,10256621
1000000,14,WAVL Tree,L1 Misses,9891731
1000000,14,WAVL Tree,Branch Misses,11265705
1000000,15,RB Tree,L1 Misses,9668444
1000000,15,RB Tree,Branch Misses,10252327
1000000,15,WAVL Tree,L1 Misses,9837900
1000000,15,WAVL Tree,Branch Misses,11262337
1000000,16,RB Tree,L1 Misses,9585157
1000000,16,RB Tree,Branch Misses,10258384
1000000,16,WAVL Tree,L1 Misses,9891292
1000000,16,WAVL Tree,Branch Misses,11249347
1000000,17,RB Tree,L1 Misses,9694736
1000000,17,RB Tree,Branch Misses,10252191
1000000,17,WAVL Tree,L1 Misses,9833063
1000000,17,WAVL Tree,Branch Misses,11250415
1000000,18,RB Tree,L1 Misses,9593938
1000000,18,RB Tree,Branch Misses,10250460
1000000,18,WAVL Tree,L1 Misses,9965804
1000000,18,WAVL Tree,Branch Misses,11261150
1000000,19,RB Tree,L1 Misses,9615096
1000000,19,RB Tree,Branch Misses,10254300
1000000,19,WAVL Tree,L1 Misses,9921746
1000000,19,WAVL Tree,Branch Misses,11259378
1000000,20,RB Tree,L1 Misses,9619143
1000000,20,RB Tree,Branch Misses,10251780
1000000,20,WAVL Tree,L1 Misses,9873213
1000000,20,WAVL Tree,Branch Misses,11265925
